"","iso3","country","hdicode","year","hdi","le","eys","mys","gnipc"
"1","AFG","Afghanistan","Low",1990,0.284,45.967,2.936460018,0.871961963,3115.670448
"2","AFG","Afghanistan","Low",1991,0.292,46.663,3.228456167,0.915267456,2817.304736
"3","AFG","Afghanistan","Low",1992,0.299,47.596,3.520452316,0.95857295,2474.681985
"4","AFG","Afghanistan","Low",1993,0.307,51.466,3.812448465,1.001878443,1723.019763
"5","AFG","Afghanistan","Low",1994,0.3,51.495,4.104444614,1.045183937,1202.010488
"6","AFG","Afghanistan","Low",1995,0.318,52.544,4.396440763,1.08848943,1477.061709
"7","AFG","Afghanistan","Low",1996,0.326,53.243,4.688436912,1.123601992,1468.355839
"8","AFG","Afghanistan","Low",1997,0.33,53.634,4.980433061,1.158714555,1338.724144
"9","AFG","Afghanistan","Low",1998,0.329,52.943,5.272429209,1.193827117,1227.293565
"10","AFG","Afghanistan","Low",1999,0.337,54.846,5.564425358,1.228939679,1122.32257
"11","AFG","Afghanistan","Low",2000,0.34,55.298,5.856421507,1.264052241,1047.342686
"12","AFG","Afghanistan","Low",2001,0.344,55.798,6.148417656,1.315550666,981.1335542
"13","AFG","Afghanistan","Low",2002,0.368,56.454,6.440413805,1.367049091,1364.239872
"14","AFG","Afghanistan","Low",2003,0.379,57.344,6.732409954,1.418547515,1465.417987
"15","AFG","Afghanistan","Low",2004,0.395,57.944,7.600430012,1.47004594,1453.663264
"16","AFG","Afghanistan","Low",2005,0.402,58.361,7.858029938,1.521544365,1508.275616
"17","AFG","Afghanistan","Low",2006,0.41,58.684,8.115629864,1.595280745,1577.870182
"18","AFG","Afghanistan","Low",2007,0.426,59.111,8.37322979,1.669017126,1894.877589
"19","AFG","Afghanistan","Low",2008,0.431,59.852,8.630829716,1.742753507,1838.976743
"20","AFG","Afghanistan","Low",2009,0.441,60.364,8.888429642,1.816489888,1953.65815
"21","AFG","Afghanistan","Low",2010,0.449,60.851,9.180809975,1.890226268,2006.788911
"22","AFG","Afghanistan","Low",2011,0.457,61.419,9.473190308,1.937043018,2059.012272
"23","AFG","Afghanistan","Low",2012,0.467,61.923,9.803686778,1.983859768,2174.350605
"24","AFG","Afghanistan","Low",2013,0.475,62.417,10.13418325,2.030676517,2244.209474
"25","AFG","Afghanistan","Low",2014,0.48,62.545,10.46467972,2.077493267,2222.094339
"26","AFG","Afghanistan","Low",2015,0.479,62.659,10.48297477,2.124310017,2142.689163
"27","AFG","Afghanistan","Low",2016,0.483,63.136,10.50126982,2.267770012,2122.363226
"28","AFG","Afghanistan","Low",2017,0.485,63.016,10.51956487,2.411230008,2123.676477
"29","AFG","Afghanistan","Low",2018,0.486,63.081,10.53785992,2.554690003,2082.113799
"30","AFG","Afghanistan","Low",2019,0.492,63.565,10.62129205,2.698149999,2112.986381
"31","AFG","Afghanistan","Low",2020,0.488,62.575,10.70538475,2.841609995,1986.803772
"32","AFG","Afghanistan","Low",2021,0.473,61.982,10.70538475,2.98506999,1534.135377
"33","AFG","Afghanistan","Low",2022,0.462,62.879,10.70538475,2.514790058,1335.205733
"34","ALB","Albania","High",1990,0.649,73.144,11.57933998,7.354632085,4964.172443
"35","ALB","Albania","High",1991,0.632,73.378,11.78129959,7.352753507,3501.732374
"36","ALB","Albania","High",1992,0.616,73.715,10.65800953,7.350874929,3177.137422
"37","ALB","Albania","High",1993,0.618,73.939,10.07353973,7.348996351,3595.914885
"38","ALB","Albania","High",1994,0.623,74.131,9.992659569,7.347117774,3950.845018
"39","ALB","Albania","High",1995,0.632,74.362,10.05914021,7.345239196,4559.593062
"40","ALB","Albania","High",1996,0.644,74.592,10.16149998,7.627025866,5016.104303
"41","ALB","Albania","High",1997,0.641,73.904,10.36505985,7.908812536,4496.157339
"42","ALB","Albania","High",1998,0.656,74.99,10.54819012,8.190599206,4952.589971
"43","ALB","Albania","High",1999,0.668,75.183,10.63376045,8.472385876,5595.604803
"44","ALB","Albania","High",2000,0.678,75.404,10.70049,8.754172545,6065.186702
"45","ALB","Albania","High",2001,0.687,75.639,10.91763973,8.823679924,6645.338962
"46","ALB","Albania","High",2002,0.692,75.89,11.02056026,8.888405664,6920.545333
"47","ALB","Albania","High",2003,0.701,76.142,11.37574959,8.953131403,7341.553651
"48","ALB","Albania","High",2004,0.707,76.376,11.50094032,9.017857143,7756.637448
"49","ALB","Albania","High",2005,0.72,76.621,12.2344799,9.082582882,8197.982293
"50","ALB","Albania","High",2006,0.728,76.816,12.55426025,9.147308622,8814.489301
"51","ALB","Albania","High",2007,0.74,77.549,12.9734602,9.212034362,9399.455701
"52","ALB","Albania","High",2008,0.747,77.653,13.17510033,9.276760101,9962.428183
"53","ALB","Albania","High",2009,0.752,77.781,13.36019993,9.451739947,10153.08169
